,zone_name,zone_id,zone_coords,zone_nightlife_count,zone_restaurant_count,zone_cultural_count,zone_lodging_count,zone_poi_count
242,Seia,652094,"40.415960, -7.707470",13,103,121,57,174
243,Arouca,656854,"40.932700, -8.247170",8,53,97,30,106
244,Oliveira do Hospital,656855,"40.362670, -7.860580",25,60,107,23,155
245,Torres Vedras,656858,"39.091780, -9.258870",36,78,123,29,155
246,Montijo,658385,"38.706570, -8.970240",60,97,111,21,84
247,Santarém,659913,"39.236200, -8.687990",35,62,113,32,94
248,Alcanena,659914,"39.459630, -8.667190",10,108,93,12,179
249,Águeda,660256,"40.577520, -8.446960",40,53,125,15,136
250,Proença-a-Nova,660257,"39.755190, -7.923800",4,23,77,9,34
251,São João da Madeira,660259,"40.897540, -8.496530",44,117,130,23,154
252,Alfândega da Fé,660260,"41.340500, -6.959420",4,33,72,10,45
253,Grândola,660495,"38.177340, -8.572810",13,78,74,25,50
254,Póvoa de Lanhoso,660497,"41.575930, -8.260390",12,31,107,85,181
255,Almeida,663589,"40.727550, -6.906950",7,42,74,11,50
256,Caldas da Rainha,663836,"39.403650, -9.138780",48,111,151,50,185
257,Ourém,664020,"39.641010, -8.591890",18,90,98,15,155
258,Vila Real de Santo António,664459,"37.189940, -7.417660",64,91,110,44,90
259,Manteigas,666185,"40.399470, -7.540190",7,36,87,31,80
260,Vila Nova de Famalicão,676780,"41.406590, -8.523810",36,165,128,47,192
261,Castro Verde,680209,"37.698180, -8.083830",11,30,73,14,31
262,Gondomar,6855662,"41.141880, -8.532970",69,144,147,47,200
263,Vouzela,6932165,"40.723000, -8.107520",9,141,98,58,151
264,Barrancos,7008923,"38.132870, -6.976240",4,23,66,3,23
265,Pampilhosa da Serra,7018388,"40.046140, -7.942160",4,12,75,8,108
266,Vinhais,7034944,"41.831760, -7.003060",6,48,88,6,67
267,Oleiros,7038598,"39.920560, -7.913670",4,34,75,5,76
268,Vila Velha de Ródão,7092545,"39.661770, -7.605930",1,4,45,1,23
269,Penalva do Castelo,729735,"40.654780, -7.762940",4,25,96,5,160
270,Monforte,7314634,"39.055230, -7.437260",1,24,74,1,41
271,Paredes,754083,"41.208250, -8.331620",55,147,132,37,185
272,Golegã,775188,"39.404250, -8.489620",9,43,75,37,128
273,Castro Marim,775189,"37.218560, -7.443180",63,48,110,35,98
274,Melgaço,793316,"42.113230, -8.262370",30,78,127,21,167
275,Pinhel,8514724,"40.775860, -7.066120",7,33,78,18,60
276,Carregal do Sal,8649088,"40.430450, -8.012970",5,67,91,18,179
